"station_in","莘庄","外环路","莲花路","锦江乐园","上海南站","漕宝路","上海体育馆","徐家汇","衡山路","常熟路","陕西南路","黄陂南路","人民广场","新闸路","汉中路","上海火车站","中山北路","延长路","上海马戏城","汶水路","彭浦新村","共康路","通河新村","呼兰路","共富新村","宝安公路","友谊西路","浦东国际机场","海天三路","远东大道","凌空路","川沙","华夏东路","创新中路","唐镇","广兰路","金科路","张江高科","龙阳路","世纪公园","上海科技馆","世纪大道","东昌路","陆家嘴","南京东路","南京西路","静安寺","江苏路","中山公园","娄山关路","威宁路","北新泾","淞虹路","虹桥2号航站楼","虹桥火车站","石龙路","龙漕路","漕溪路","宜山路","虹桥路","延安西路","金沙江路","曹杨路","镇坪路","中潭路","宝山路","东宝兴路","虹口足球场","赤峰路","大柏树","江湾镇","殷高西路","长江南路","淞发路","张华浜","淞滨路","水产路","宝杨路","友谊路","铁力路","上海体育场","东安路","大木桥路","鲁班路","西藏南路","南浦大桥","塘桥","蓝村路","浦电路","浦东大道","杨树浦路","大连路","临平路","海伦路","春申路","银都路","颛桥","北桥","剑川路","东川路","金平路","华宁路","文井路","港城路","外高桥保税区北","航津路","外高桥保税区南","洲海路","五洲大道","东靖路","巨峰路","五莲路","博兴路","金桥路","云山路","德平路","北洋泾路","民生路","源深体育中心","上海儿童医学中心","临沂新村","高科西路","东明路","高青路","华夏西路","上南路","灵岩南路","花木路","芳华路","锦绣路","杨高南路","云台路","耀华路","长清路","后滩","龙华中路","肇嘉浜路","昌平路","长寿路","岚皋路","新村路","大华三路","行知路","大场镇","场中路","上大路","南陈路","上海大学","祁华路","顾村公园","刘行","潘广路","罗南新村","沈杜公路","联航路","江月路","浦江镇","芦恒路","凌兆新村","东方体育中心","杨思","成山路","中华艺术宫","陆家浜路","老西门","大世界","曲阜路","中兴路","西藏北路","曲阳路","四平路","鞍山新村","江浦路","黄兴路","延吉中路","黄兴公园","翔殷路","嫩江路","杨高中路","商城路","小南门","马当路","打浦桥","嘉善路","桂林路","漕河泾开发区","合川路","星中路","七宝","中春路","九亭","泗泾","佘山","洞泾","松江大学城","松江新城","松江体育中心","醉白池","新江湾城","殷高东路","三门路","江湾体育场","五角场","国权路","同济大学","邮电新村","四川北路","天潼路","豫园","新天地","上海图书馆","交通大学","宋园路","伊犁路","水城路","龙溪路","上海动物园","虹桥1号航站楼","龙柏新村","紫藤路","罗山路","御桥","浦三路","三林东","三林","龙耀路","云锦路","龙华","上海游泳馆","隆德路","枫桥路","真如","上海西站","李子园路","祁连山路","武威路","桃浦新村","南翔","马陆","嘉定新城","白银路","嘉定西","上海赛车场","昌吉东路","上海汽车城","安亭","兆丰路","光明路","金海路","申江路","金京路","杨高北路","东陆路","复兴岛","爱国路","隆昌路","宁国路","江浦公园","提篮桥","国际客运中心","金运路","金沙江西路","丰庄","祁连山南路","真北路","大渡河路","武宁路","滴水湖","临港大道","书院","惠南东","惠南","上海野生动物园","新场","航头东","鹤沙航城","周浦东","华夏中路","富锦路","徐泾东","江杨北路","闵行开发区","美兰湖","市光路","松江南站","航中路","嘉定北","花桥"
"岚皋路",13,12,11,10,9,8,7,6,6,5,6,7,6,5,4,3,4,5,6,7,8,9,10,11,12,13,14,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,5,4,4,4,5,6,7,8,9,10,10,9,8,7,6,5,3,2,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,8,7,8,9,10,11,12,12,11,9,8,7,6,5,14,15,16,17,18,19,20,21,22,21,20,19,18,17,16,15,14,15,16,16,15,14,13,12,11,13,14,13,14,15,14,13,12,14,14,15,14,12,11,10,9,8,6,3,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,17,16,15,14,13,12,11,12,12,11,9,8,7,7,8,7,7,7,8,9,10,11,12,13,14,11,11,10,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,14,13,12,11,10,9,8,6,6,7,8,7,6,5,7,8,9,10,11,10,11,12,15,15,14,13,12,10,9,8,7,3,3,4,5,6,7,8,9,10,11,12,13,14,13,14,15,16,17,18,18,17,16,15,13,12,11,10,9,8,8,8,9,8,7,6,5,4,3,25,24,23,22,21,20,19,18,17,16,14,15,11,19,23,14,15,22,13,15,19
"新村路",14,13,12,11,10,9,8,7,7,6,7,8,7,6,5,4,5,6,7,8,9,10,11,12,13,14,15,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,6,5,5,5,6,7,8,9,10,11,11,10,9,8,7,6,4,3,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,9,8,9,10,11,12,13,13,12,10,9,8,7,6,15,16,17,18,19,20,21,22,23,22,21,20,19,18,17,16,15,16,17,17,16,15,14,13,12,14,15,14,15,16,15,14,13,15,15,16,15,13,12,11,10,9,7,4,3,1,0,1,2,3,4,5,6,7,8,9,10,11,12,18,17,16,15,14,13,12,13,13,12,10,9,8,8,9,8,8,8,9,10,11,12,13,14,15,12,12,11,10,9,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,15,14,13,12,11,10,9,7,7,8,9,8,7,6,8,9,10,11,12,11,12,13,16,16,15,14,13,11,10,9,8,4,4,5,6,7,8,9,10,11,12,13,14,15,14,15,16,17,18,19,19,18,17,16,14,13,12,11,10,9,9,9,10,9,8,7,6,5,4,26,25,24,23,22,21,20,19,18,17,15,16,12,20,24,13,16,23,14,16,20
"大华三路",15,14,13,12,11,10,9,8,8,7,8,9,8,7,6,5,6,7,8,9,10,11,12,13,14,15,16,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,7,6,6,6,7,8,9,10,11,12,12,11,10,9,8,7,5,4,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,10,9,10,11,12,13,14,14,13,11,10,9,8,7,16,17,18,19,20,21,22,23,24,23,22,21,20,19,18,17,16,17,18,18,17,16,15,14,13,15,16,15,16,17,16,15,14,16,16,17,16,14,13,12,11,10,8,5,4,2,1,0,1,2,3,4,5,6,7,8,9,10,11,19,18,17,16,15,14,13,14,14,13,11,10,9,9,10,9,9,9,10,11,12,13,14,15,16,13,13,12,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,16,15,14,13,12,11,10,8,8,9,10,9,8,7,9,10,11,12,13,12,13,14,17,17,16,15,14,12,11,10,9,5,5,6,7,8,9,10,11,12,13,14,15,16,15,16,17,18,19,20,20,19,18,17,15,14,13,12,11,10,10,10,11,10,9,8,7,6,5,27,26,25,24,23,22,21,20,19,18,16,17,13,21,25,12,17,24,15,17,21
"行知路",16,15,14,13,12,11,10,9,9,8,9,10,9,8,7,6,7,8,9,10,11,12,13,14,15,16,17,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,8,7,7,7,8,9,10,11,12,13,13,12,11,10,9,8,6,5,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,11,10,11,12,13,14,15,15,14,12,11,10,9,8,17,18,19,20,21,22,23,24,25,24,23,22,21,20,19,18,17,18,19,19,18,17,16,15,14,16,17,16,17,18,17,16,15,17,17,18,17,15,14,13,12,11,9,6,5,3,2,1,0,1,2,3,4,5,6,7,8,9,10,20,19,18,17,16,15,14,15,15,14,12,11,10,10,11,10,10,10,11,12,13,14,15,16,17,14,14,13,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,17,16,15,14,13,12,11,9,9,10,11,10,9,8,10,11,12,13,14,13,14,15,18,18,17,16,15,13,12,11,10,6,6,7,8,9,10,11,12,13,14,15,16,17,16,17,18,19,20,21,21,20,19,18,16,15,14,13,12,11,11,11,12,11,10,9,8,7,6,28,27,26,25,24,23,22,21,20,19,17,18,14,22,26,11,18,25,16,18,22
"大场镇",17,16,15,14,13,12,11,10,10,9,10,11,10,9,8,7,8,9,10,11,12,13,14,15,16,17,18,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,9,8,8,8,9,10,11,12,13,14,14,13,12,11,10,9,7,6,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,12,11,12,13,14,15,16,16,15,13,12,11,10,9,18,19,20,21,22,23,24,25,26,25,24,23,22,21,20,19,18,19,20,20,19,18,17,16,15,17,18,17,18,19,18,17,16,18,18,19,18,16,15,14,13,12,10,7,6,4,3,2,1,0,1,2,3,4,5,6,7,8,9,21,20,19,18,17,16,15,16,16,15,13,12,11,11,12,11,11,11,12,13,14,15,16,17,18,15,15,14,13,12,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,18,17,16,15,14,13,12,10,10,11,12,11,10,9,11,12,13,14,15,14,15,16,19,19,18,17,16,14,13,12,11,7,7,8,9,10,11,12,13,14,15,16,17,18,17,18,19,20,21,22,22,21,20,19,17,16,15,14,13,12,12,12,13,12,11,10,9,8,7,29,28,27,26,25,24,23,22,21,20,18,19,15,23,27,10,19,26,17,19,23
"场中路",18,17,16,15,14,13,12,11,11,10,11,12,11,10,9,8,9,10,11,12,13,14,15,16,17,18,19,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,10,9,9,9,10,11,12,13,14,15,15,14,13,12,11,10,8,7,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,13,12,13,14,15,16,17,17,16,14,13,12,11,10,19,20,21,22,23,24,25,26,27,26,25,24,23,22,21,20,19,20,21,21,20,19,18,17,16,18,19,18,19,20,19,18,17,19,19,20,19,17,16,15,14,13,11,8,7,5,4,3,2,1,0,1,2,3,4,5,6,7,8,22,21,20,19,18,17,16,17,17,16,14,13,12,12,13,12,12,12,13,14,15,16,17,18,19,16,16,15,14,13,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,19,18,17,16,15,14,13,11,11,12,13,12,11,10,12,13,14,15,16,15,16,17,20,20,19,18,17,15,14,13,12,8,8,9,10,11,12,13,14,15,16,17,18,19,18,19,20,21,22,23,23,22,21,20,18,17,16,15,14,13,13,13,14,13,12,11,10,9,8,30,29,28,27,26,25,24,23,22,21,19,20,16,24,28,9,20,27,18,20,24
"上大路",19,18,17,16,15,14,13,12,12,11,12,13,12,11,10,9,10,11,12,13,14,15,16,17,18,19,20,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,11,10,10,10,11,12,13,14,15,16,16,15,14,13,12,11,9,8,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,14,13,14,15,16,17,18,18,17,15,14,13,12,11,20,21,22,23,24,25,26,27,28,27,26,25,24,23,22,21,20,21,22,22,21,20,19,18,17,19,20,19,20,21,20,19,18,20,20,21,20,18,17,16,15,14,12,9,8,6,5,4,3,2,1,0,1,2,3,4,5,6,7,23,22,21,20,19,18,17,18,18,17,15,14,13,13,14,13,13,13,14,15,16,17,18,19,20,17,17,16,15,14,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,20,19,18,17,16,15,14,12,12,13,14,13,12,11,13,14,15,16,17,16,17,18,21,21,20,19,18,16,15,14,13,9,9,10,11,12,13,14,15,16,17,18,19,20,19,20,21,22,23,24,24,23,22,21,19,18,17,16,15,14,14,14,15,14,13,12,11,10,9,31,30,29,28,27,26,25,24,23,22,20,21,17,25,29,8,21,28,19,21,25
"南陈路",20,19,18,17,16,15,14,13,13,12,13,14,13,12,11,10,11,12,13,14,15,16,17,18,19,20,21,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,12,11,11,11,12,13,14,15,16,17,17,16,15,14,13,12,10,9,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,15,14,15,16,17,18,19,19,18,16,15,14,13,12,21,22,23,24,25,26,27,28,29,28,27,26,25,24,23,22,21,22,23,23,22,21,20,19,18,20,21,20,21,22,21,20,19,21,21,22,21,19,18,17,16,15,13,10,9,7,6,5,4,3,2,1,0,1,2,3,4,5,6,24,23,22,21,20,19,18,19,19,18,16,15,14,14,15,14,14,14,15,16,17,18,19,20,21,18,18,17,16,15,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,21,20,19,18,17,16,15,13,13,14,15,14,13,12,14,15,16,17,18,17,18,19,22,22,21,20,19,17,16,15,14,10,10,11,12,13,14,15,16,17,18,19,20,21,20,21,22,23,24,25,25,24,23,22,20,19,18,17,16,15,15,15,16,15,14,13,12,11,10,32,31,30,29,28,27,26,25,24,23,21,22,18,26,30,7,22,29,20,22,26
"上海大学",21,20,19,18,17,16,15,14,14,13,14,15,14,13,12,11,12,13,14,15,16,17,18,19,20,21,22,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,13,12,12,12,13,14,15,16,17,18,18,17,16,15,14,13,11,10,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,16,15,16,17,18,19,20,20,19,17,16,15,14,13,22,23,24,25,26,27,28,29,30,29,28,27,26,25,24,23,22,23,24,24,23,22,21,20,19,21,22,21,22,23,22,21,20,22,22,23,22,20,19,18,17,16,14,11,10,8,7,6,5,4,3,2,1,0,1,2,3,4,5,25,24,23,22,21,20,19,20,20,19,17,16,15,15,16,15,15,15,16,17,18,19,20,21,22,19,19,18,17,16,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,22,21,20,19,18,17,16,14,14,15,16,15,14,13,15,16,17,18,19,18,19,20,23,23,22,21,20,18,17,16,15,11,11,12,13,14,15,16,17,18,19,20,21,22,21,22,23,24,25,26,26,25,24,23,21,20,19,18,17,16,16,16,17,16,15,14,13,12,11,33,32,31,30,29,28,27,26,25,24,22,23,19,27,31,6,23,30,21,23,27
"祁华路",22,21,20,19,18,17,16,15,15,14,15,16,15,14,13,12,13,14,15,16,17,18,19,20,21,22,23,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,14,13,13,13,14,15,16,17,18,19,19,18,17,16,15,14,12,11,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,17,16,17,18,19,20,21,21,20,18,17,16,15,14,23,24,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,24,25,25,24,23,22,21,20,22,23,22,23,24,23,22,21,23,23,24,23,21,20,19,18,17,15,12,11,9,8,7,6,5,4,3,2,1,0,1,2,3,4,26,25,24,23,22,21,20,21,21,20,18,17,16,16,17,16,16,16,17,18,19,20,21,22,23,20,20,19,18,17,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,23,22,21,20,19,18,17,15,15,16,17,16,15,14,16,17,18,19,20,19,20,21,24,24,23,22,21,19,18,17,16,12,12,13,14,15,16,17,18,19,20,21,22,23,22,23,24,25,26,27,27,26,25,24,22,21,20,19,18,17,17,17,18,17,16,15,14,13,12,34,33,32,31,30,29,28,27,26,25,23,24,20,28,32,5,24,31,22,24,28
"顾村公园",23,22,21,20,19,18,17,16,16,15,16,17,16,15,14,13,14,15,16,17,18,19,20,21,22,23,24,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,15,14,14,14,15,16,17,18,19,20,20,19,18,17,16,15,13,12,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,18,17,18,19,20,21,22,22,21,19,18,17,16,15,24,25,26,27,28,29,30,31,32,31,30,29,28,27,26,25,24,25,26,26,25,24,23,22,21,23,24,23,24,25,24,23,22,24,24,25,24,22,21,20,19,18,16,13,12,10,9,8,7,6,5,4,3,2,1,0,1,2,3,27,26,25,24,23,22,21,22,22,21,19,18,17,17,18,17,17,17,18,19,20,21,22,23,24,21,21,20,19,18,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,24,23,22,21,20,19,18,16,16,17,18,17,16,15,17,18,19,20,21,20,21,22,25,25,24,23,22,20,19,18,17,13,13,14,15,16,17,18,19,20,21,22,23,24,23,24,25,26,27,28,28,27,26,25,23,22,21,20,19,18,18,18,19,18,17,16,15,14,13,35,34,33,32,31,30,29,28,27,26,24,25,21,29,33,4,25,32,23,25,29
"刘行",24,23,22,21,20,19,18,17,17,16,17,18,17,16,15,14,15,16,17,18,19,20,21,22,23,24,25,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,16,15,15,15,16,17,18,19,20,21,21,20,19,18,17,16,14,13,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,19,18,19,20,21,22,23,23,22,20,19,18,17,16,25,26,27,28,29,30,31,32,33,32,31,30,29,28,27,26,25,26,27,27,26,25,24,23,22,24,25,24,25,26,25,24,23,25,25,26,25,23,22,21,20,19,17,14,13,11,10,9,8,7,6,5,4,3,2,1,0,1,2,28,27,26,25,24,23,22,23,23,22,20,19,18,18,19,18,18,18,19,20,21,22,23,24,25,22,22,21,20,19,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,25,24,23,22,21,20,19,17,17,18,19,18,17,16,18,19,20,21,22,21,22,23,26,26,25,24,23,21,20,19,18,14,14,15,16,17,18,19,20,21,22,23,24,25,24,25,26,27,28,29,29,28,27,26,24,23,22,21,20,19,19,19,20,19,18,17,16,15,14,36,35,34,33,32,31,30,29,28,27,25,26,22,30,34,3,26,33,24,26,30
"潘广路",25,24,23,22,21,20,19,18,18,17,18,19,18,17,16,15,16,17,18,19,20,21,22,23,24,25,26,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,17,16,16,16,17,18,19,20,21,22,22,21,20,19,18,17,15,14,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,20,19,20,21,22,23,24,24,23,21,20,19,18,17,26,27,28,29,30,31,32,33,34,33,32,31,30,29,28,27,26,27,28,28,27,26,25,24,23,25,26,25,26,27,26,25,24,26,26,27,26,24,23,22,21,20,18,15,14,12,11,10,9,8,7,6,5,4,3,2,1,0,1,29,28,27,26,25,24,23,24,24,23,21,20,19,19,20,19,19,19,20,21,22,23,24,25,26,23,23,22,21,20,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,26,25,24,23,22,21,20,18,18,19,20,19,18,17,19,20,21,22,23,22,23,24,27,27,26,25,24,22,21,20,19,15,15,16,17,18,19,20,21,22,23,24,25,26,25,26,27,28,29,30,30,29,28,27,25,24,23,22,21,20,20,20,21,20,19,18,17,16,15,37,36,35,34,33,32,31,30,29,28,26,27,23,31,35,2,27,34,25,27,31
"罗南新村",26,25,24,23,22,21,20,19,19,18,19,20,19,18,17,16,17,18,19,20,21,22,23,24,25,26,27,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,18,17,17,17,18,19,20,21,22,23,23,22,21,20,19,18,16,15,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,21,20,21,22,23,24,25,25,24,22,21,20,19,18,27,28,29,30,31,32,33,34,35,34,33,32,31,30,29,28,27,28,29,29,28,27,26,25,24,26,27,26,27,28,27,26,25,27,27,28,27,25,24,23,22,21,19,16,15,13,12,11,10,9,8,7,6,5,4,3,2,1,0,30,29,28,27,26,25,24,25,25,24,22,21,20,20,21,20,20,20,21,22,23,24,25,26,27,24,24,23,22,21,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,27,26,25,24,23,22,21,19,19,20,21,20,19,18,20,21,22,23,24,23,24,25,28,28,27,26,25,23,22,21,20,16,16,17,18,19,20,21,22,23,24,25,26,27,26,27,28,29,30,31,31,30,29,28,26,25,24,23,22,21,21,21,22,21,20,19,18,17,16,38,37,36,35,34,33,32,31,30,29,27,28,24,32,36,1,28,35,26,28,32
"沈杜公路",18,17,16,15,14,13,12,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,24,23,22,21,20,19,18,17,16,15,14,13,14,15,15,16,16,15,15,14,13,14,15,16,17,18,19,20,15,14,13,12,13,14,15,15,16,17,19,20,19,20,21,22,23,24,25,26,27,28,29,30,31,13,13,13,12,11,12,13,14,15,16,17,18,19,18,19,20,21,22,23,24,25,26,27,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,13,12,11,11,10,9,8,7,14,14,13,12,10,9,10,11,12,12,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,0,1,2,3,4,5,6,7,8,10,12,13,14,16,17,18,20,20,21,22,23,24,25,26,27,16,14,13,13,14,13,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,25,24,23,22,21,19,17,16,14,14,13,12,14,15,16,17,18,19,18,19,11,10,9,8,7,7,8,9,10,14,16,17,18,19,20,21,22,23,24,25,26,27,26,27,28,29,30,31,28,27,26,25,24,23,22,21,20,19,18,17,21,20,19,18,17,16,15,21,20,19,18,17,16,15,14,13,12,12,30,21,32,28,31,28,27,20,28,32
"联航路",17,16,15,14,13,12,11,10,11,12,13,14,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,23,22,21,20,19,18,17,16,15,14,13,12,13,14,14,15,15,14,14,13,12,13,14,15,16,17,18,19,14,13,12,11,12,13,14,14,15,16,18,19,18,19,20,21,22,23,24,25,26,27,28,29,30,12,12,12,11,10,11,12,13,14,15,16,17,18,17,18,19,20,21,22,23,24,25,26,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,12,11,10,10,9,8,7,6,13,13,12,11,9,8,9,10,11,11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,1,0,1,2,3,4,5,6,7,9,11,12,13,15,16,17,19,19,20,21,22,23,24,25,26,15,13,12,12,13,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,25,24,23,22,21,20,18,16,15,13,13,12,11,13,14,15,16,17,18,17,18,10,9,8,7,6,6,7,8,9,13,15,16,17,18,19,20,21,22,23,24,25,26,25,26,27,28,29,30,27,26,25,24,23,22,21,20,19,18,17,16,20,19,18,17,16,15,14,20,19,18,17,16,15,14,13,12,11,11,29,20,31,27,30,27,26,19,27,31
"江月路",16,15,14,13,12,11,10,9,10,11,12,13,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,22,21,20,19,18,17,16,15,14,13,12,11,12,13,13,14,14,13,13,12,11,12,13,14,15,16,17,18,13,12,11,10,11,12,13,13,14,15,17,18,17,18,19,20,21,22,23,24,25,26,27,28,29,11,11,11,10,9,10,11,12,13,14,15,16,17,16,17,18,19,20,21,22,23,24,25,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,11,10,9,9,8,7,6,5,12,12,11,10,8,7,8,9,10,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,2,1,0,1,2,3,4,5,6,8,10,11,12,14,15,16,18,18,19,20,21,22,23,24,25,14,12,11,11,12,11,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,23,22,21,20,19,17,15,14,12,12,11,10,12,13,14,15,16,17,16,17,9,8,7,6,5,5,6,7,8,12,14,15,16,17,18,19,20,21,22,23,24,25,24,25,26,27,28,29,26,25,24,23,22,21,20,19,18,17,16,15,19,18,17,16,15,14,13,19,18,17,16,15,14,13,12,11,10,10,28,19,30,26,29,26,25,18,26,30
"浦江镇",15,14,13,12,11,10,9,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,21,20,19,18,17,16,15,14,13,12,11,10,11,12,12,13,13,12,12,11,10,11,12,13,14,15,16,17,12,11,10,9,10,11,12,12,13,14,16,17,16,17,18,19,20,21,22,23,24,25,26,27,28,10,10,10,9,8,9,10,11,12,13,14,15,16,15,16,17,18,19,20,21,22,23,24,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,10,9,8,8,7,6,5,4,11,11,10,9,7,6,7,8,9,9,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,3,2,1,0,1,2,3,4,5,7,9,10,11,13,14,15,17,17,18,19,20,21,22,23,24,13,11,10,10,11,10,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,23,22,21,20,19,18,16,14,13,11,11,10,9,11,12,13,14,15,16,15,16,8,7,6,5,4,4,5,6,7,11,13,14,15,16,17,18,19,20,21,22,23,24,23,24,25,26,27,28,25,24,23,22,21,20,19,18,17,16,15,14,18,17,16,15,14,13,12,18,17,16,15,14,13,12,11,10,9,9,27,18,29,25,28,25,24,17,25,29
"芦恒路",14,13,12,11,10,9,8,7,8,9,10,11,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,20,19,18,17,16,15,14,13,12,11,10,9,10,11,11,12,12,11,11,10,9,10,11,12,13,14,15,16,11,10,9,8,9,10,11,11,12,13,15,16,15,16,17,18,19,20,21,22,23,24,25,26,27,9,9,9,8,7,8,9,10,11,12,13,14,15,14,15,16,17,18,19,20,21,22,23,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,9,8,7,7,6,5,4,3,10,10,9,8,6,5,6,7,8,8,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,4,3,2,1,0,1,2,3,4,6,8,9,10,12,13,14,16,16,17,18,19,20,21,22,23,12,10,9,9,10,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,22,21,20,19,18,17,15,13,12,10,10,9,8,10,11,12,13,14,15,14,15,7,6,5,4,3,3,4,5,6,10,12,13,14,15,16,17,18,19,20,21,22,23,22,23,24,25,26,27,24,23,22,21,20,19,18,17,16,15,14,13,17,16,15,14,13,12,11,17,16,15,14,13,12,11,10,9,8,8,26,17,28,24,27,24,23,16,24,28
"凌兆新村",13,12,11,10,9,8,7,6,7,8,9,10,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,19,18,17,16,15,14,13,12,11,10,9,8,9,10,10,11,11,10,10,9,8,9,10,11,12,13,14,15,10,9,8,7,8,9,10,10,11,12,14,15,14,15,16,17,18,19,20,21,22,23,24,25,26,8,8,8,7,6,7,8,9,10,11,12,13,14,13,14,15,16,17,18,19,20,21,22,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,8,7,6,6,5,4,3,2,9,9,8,7,5,4,5,6,7,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,5,4,3,2,1,0,1,2,3,5,7,8,9,11,12,13,15,15,16,17,18,19,20,21,22,11,9,8,8,9,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,21,20,19,18,17,16,14,12,11,9,9,8,7,9,10,11,12,13,14,13,14,6,5,4,3,2,2,3,4,5,9,11,12,13,14,15,16,17,18,19,20,21,22,21,22,23,24,25,26,23,22,21,20,19,18,17,16,15,14,13,12,16,15,14,13,12,11,10,16,15,14,13,12,11,10,9,8,7,7,25,16,27,23,26,23,22,15,23,27
"东方体育中心",12,11,10,9,8,7,6,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,18,17,16,15,14,13,12,11,10,9,8,7,8,9,9,10,10,9,9,8,7,8,9,10,11,12,13,14,9,8,7,6,7,8,9,9,10,11,13,14,13,14,15,16,17,18,19,20,21,22,23,24,25,7,7,7,6,5,6,7,8,9,10,11,12,13,12,13,14,15,16,17,18,19,20,21,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,7,6,5,5,4,3,2,1,8,8,7,6,4,3,4,5,6,6,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,6,5,4,3,2,1,0,1,2,4,6,7,8,10,11,12,14,14,15,16,17,18,19,20,21,10,8,7,7,8,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,20,19,18,17,16,15,13,11,10,8,8,7,6,8,9,10,11,12,13,12,13,5,4,3,2,1,1,2,3,4,8,10,11,12,13,14,15,16,17,18,19,20,21,20,21,22,23,24,25,22,21,20,19,18,17,16,15,14,13,12,11,15,14,13,12,11,10,9,15,14,13,12,11,10,9,8,7,6,6,24,15,26,22,25,22,21,14,22,26
